@relation estados

@attribute palabras+ {si,no}
@attribute Npalabras+ numeric
@attribute palabras- {si,no}
@attribute Npalabras- numeric
@attribute adjetivosPersonalidad+ {si,no}
@attribute NadjetivosPersonalidad+ numeric
@attribute adjetivosPersonalidad- {si,no}
@attribute NadjetivosPersonalidad- numeric
@attribute adjetivos+ {si,no}
@attribute Nadjetivos+ numeric
@attribute adjetivos- {si,no}
@attribute Nadjetivos- numeric
@attribute sentimientos+ {si,no}
@attribute Nsentimientos+ numeric
@attribute sentimientos- {si,no}
@attribute Nsentimientos- numeric
@attribute palabrasClave- numeric
@attribute estado {malo,neutro,bueno}

@data
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,neutro
si,48,si,26,si,8,si,1,si,11,si,4,si,15,si,5,17,neutro
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,neutro
no,0,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,neutro
si,12,si,3,si,2,no,0,si,4,no,0,si,8,no,0,3,neutro
si,9,si,5,si,3,no,0,si,1,si,1,si,4,si,1,2,neutro
si,2,no,0,no,0,no,0,si,1,no,0,si,1,no,0,0,neutro
no,0,si,2,no,0,no,0,no,0,no,0,no,0,si,1,0,neutro
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
no,0,si,2,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
si,5,si,2,no,0,no,0,no,0,si,1,no,0,si,1,2,neutro
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,neutro
si,3,no,0,no,0,no,0,si,2,no,0,si,1,no,0,1,neutro
si,1,si,1,no,0,no,0,no,0,no,0,no,0,no,0,1,neutro
no,0,si,3,no,0,no,0,si,1,si,1,no,0,si,1,0,neutro
si,2,si,3,no,0,si,2,no,0,no,0,no,0,no,0,2,neutro
si,2,si,1,no,0,no,0,si,1,no,0,no,0,no,0,3,neutro
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,2,neutro
si,4,no,0,si,3,no,0,no,0,no,0,si,2,no,0,1,neutro
si,1,si,4,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
si,9,si,3,no,0,no,0,si,2,no,0,si,4,no,0,2,neutro
