@relation estados

@attribute palabras+ {si,no}
@attribute Npalabras+ numeric
@attribute palabras- {si,no}
@attribute Npalabras- numeric
@attribute adjetivosPersonalidad+ {si,no}
@attribute NadjetivosPersonalidad+ numeric
@attribute adjetivosPersonalidad- {si,no}
@attribute NadjetivosPersonalidad- numeric
@attribute adjetivos+ {si,no}
@attribute Nadjetivos+ numeric
@attribute adjetivos- {si,no}
@attribute Nadjetivos- numeric
@attribute sentimientos+ {si,no}
@attribute Nsentimientos+ numeric
@attribute sentimientos- {si,no}
@attribute Nsentimientos- numeric
@attribute palabrasClave- numeric
@attribute estado {malo,neutro,bueno}

@data
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,neutro
si,48,si,26,si,8,si,1,si,11,si,4,si,15,si,5,17,malo
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,neutro
no,0,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,neutro
si,12,si,3,si,2,no,0,si,4,no,0,si,8,no,0,3,malo
si,9,si,5,si,3,no,0,si,1,si,1,si,4,si,1,2,malo
si,2,no,0,no,0,no,0,si,1,no,0,si,1,no,0,0,bueno
no,0,si,2,no,0,no,0,no,0,no,0,no,0,si,1,0,neutro
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
no,0,si,2,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
si,5,si,2,no,0,no,0,no,0,si,1,no,0,si,1,2,malo
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,neutro
si,3,no,0,no,0,no,0,si,2,no,0,si,1,no,0,1,bueno
si,1,si,1,no,0,no,0,no,0,no,0,no,0,no,0,1,neutro
no,0,si,3,no,0,no,0,si,1,si,1,no,0,si,1,0,malo
si,2,si,3,no,0,si,2,no,0,no,0,no,0,no,0,2,malo
si,2,si,1,no,0,no,0,si,1,no,0,no,0,no,0,3,malo
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,2,neutro
si,4,no,0,si,3,no,0,no,0,no,0,si,2,no,0,1,bueno
si,1,si,4,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
si,9,si,3,no,0,no,0,si,2,no,0,si,4,no,0,2,malo
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,neutro
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,3,neutro
si,5,si,2,no,0,no,0,si,1,no,0,si,1,si,1,9,malo
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,neutro
si,1,no,0,no,0,si,1,no,0,no,0,no,0,no,0,1,neutro
si,7,si,1,si,1,si,1,no,0,no,0,si,2,no,0,0,malo
si,8,si,1,no,0,no,0,si,1,no,0,si,2,no,0,5,malo
si,4,si,3,no,0,no,0,no,0,no,0,no,0,no,0,0,malo
si,1,si,3,si,1,si,1,si,1,no,0,si,2,no,0,2,malo
si,4,si,1,si,1,no,0,no,0,no,0,si,1,no,0,1,bueno
si,5,no,0,si,2,no,0,si,2,no,0,si,4,no,0,0,bueno
si,3,no,0,no,0,no,0,si,2,no,0,si,1,no,0,1,bueno
si,46,si,18,si,4,si,1,si,12,no,0,si,14,si,1,17,bueno
si,3,no,0,no,0,no,0,no,0,no,0,no,0,no,0,1,neutro
si,19,si,10,si,2,no,0,si,7,si,1,si,5,no,0,5,malo
si,86,si,47,si,10,si,2,si,8,si,3,si,22,si,11,41,malo
si,43,si,5,si,7,no,0,si,6,si,2,si,20,si,2,13,malo
si,13,si,8,si,2,no,0,si,3,no,0,si,5,no,0,6,malo
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,neutro
si,2,no,0,si,1,no,0,no,0,no,0,si,1,no,0,0,bueno
si,1,no,0,si,2,no,0,no,0,no,0,si,1,no,0,7,malo
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,4,malo
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,1,neutro
si,1,no,0,no,0,si,1,no,0,no,0,si,1,no,0,1,neutro
si,2,si,2,no,0,no,0,no,0,no,0,no,0,no,0,1,neutro
si,3,si,1,si,1,no,0,no,0,no,0,si,2,no,0,2,malo
si,6,si,2,si,1,no,0,no,0,no,0,si,1,no,0,1,malo
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,2,neutro
si,3,si,3,no,0,si,1,si,1,no,0,no,0,no,0,5,malo
no,0,si,1,si,1,no,0,no,0,si,1,si,2,si,1,1,malo
si,4,no,0,si,1,no,0,no,0,no,0,si,1,no,0,1,bueno
si,4,si,2,no,0,si,1,no,0,si,1,si,2,no,0,2,malo
si,14,si,5,si,1,no,0,no,0,no,0,si,2,no,0,6,malo
si,2,si,3,no,0,no,0,no,0,no,0,no,0,no,0,5,malo
