@Relation estados

@attribute palabras+ {si,no}
@attribute Npalabras+ real
@attribute palabras- {si,no}
@attribute Npalabras- real
@attribute adjetivosPersonalidad+ {si,no}
@attribute NadjetivosPersonalidad+ real
@attribute adjetivosPersonalidad- {si,no}
@attribute NadjetivosPersonalidad- real
@attribute adjetivos+ {si,no}
@attribute Nadjetivos+ real
@attribute adjetivos- {si,no}
@attribute Nadjetivos- real
@attribute sentimientos+ {si,no}
@attribute Nsentimientos+ real
@attribute sentimientos- {si,no}
@attribute Nsentimientos- real
@attribute palabrasClave- real
@attribute estado {malo,neutro,bueno}

@data
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,?
si,48,si,26,si,8,si,1,si,11,si,4,si,15,si,5,17,?
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,?
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,?
no,0,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,?
si,12,si,3,si,2,no,0,si,4,no,0,si,8,no,0,3,?
si,9,si,5,si,3,no,0,si,1,si,1,si,4,si,1,2,?
si,2,no,0,no,0,no,0,si,1,no,0,si,1,no,0,0,?
no,0,si,2,no,0,no,0,no,0,no,0,no,0,si,1,0,?
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,?
no,0,si,2,no,0,no,0,no,0,no,0,no,0,no,0,0,?
si,5,si,2,no,0,no,0,no,0,si,1,no,0,si,1,2,?
no,0,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,?
si,3,no,0,no,0,no,0,si,2,no,0,si,1,no,0,1,?
si,1,si,1,no,0,no,0,no,0,no,0,no,0,no,0,1,?
no,0,si,3,no,0,no,0,si,1,si,1,no,0,si,1,0,?
si,2,si,3,no,0,si,2,no,0,no,0,no,0,no,0,2,?
si,2,si,1,no,0,no,0,si,1,no,0,no,0,no,0,3,?
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,2,?
si,4,no,0,si,3,no,0,no,0,no,0,si,2,no,0,1,?
si,1,si,4,no,0,no,0,no,0,no,0,no,0,no,0,0,?
si,9,si,3,no,0,no,0,si,2,no,0,si,4,no,0,2,?
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,?
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,3,?
si,5,si,2,no,0,no,0,si,1,no,0,si,1,si,1,9,?
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,?
si,1,no,0,no,0,si,1,no,0,no,0,no,0,no,0,1,?
si,7,si,1,si,1,si,1,no,0,no,0,si,2,no,0,0,?
si,8,si,1,no,0,no,0,si,1,no,0,si,2,no,0,5,?
si,4,si,3,no,0,no,0,no,0,no,0,no,0,no,0,0,?
si,1,si,3,si,1,si,1,si,1,no,0,si,2,no,0,2,?
si,4,si,1,si,1,no,0,no,0,no,0,si,1,no,0,1,?
si,5,no,0,si,2,no,0,si,2,no,0,si,4,no,0,0,?
si,3,no,0,no,0,no,0,si,2,no,0,si,1,no,0,1,?
si,46,si,18,si,4,si,1,si,12,no,0,si,14,si,1,17,?
si,3,no,0,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,19,si,10,si,2,no,0,si,7,si,1,si,5,no,0,5,?
si,86,si,47,si,10,si,2,si,8,si,3,si,22,si,11,41,?
si,43,si,5,si,7,no,0,si,6,si,2,si,20,si,2,13,?
si,13,si,8,si,2,no,0,si,3,no,0,si,5,no,0,6,?
no,0,no,0,no,0,no,0,no,0,no,0,no,0,no,0,0,?
si,2,no,0,si,1,no,0,no,0,no,0,si,1,no,0,0,?
si,1,no,0,si,2,no,0,no,0,no,0,si,1,no,0,7,?
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,4,?
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,1,no,0,no,0,si,1,no,0,no,0,si,1,no,0,1,?
si,2,si,2,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,3,si,1,si,1,no,0,no,0,no,0,si,2,no,0,2,?
si,6,si,2,si,1,no,0,no,0,no,0,si,1,no,0,1,?
si,1,no,0,no,0,no,0,no,0,no,0,si,1,no,0,2,?
si,3,si,3,no,0,si,1,si,1,no,0,no,0,no,0,5,?
no,0,si,1,si,1,no,0,no,0,si,1,si,2,si,1,1,?
si,4,no,0,si,1,no,0,no,0,no,0,si,1,no,0,1,?
si,4,si,2,no,0,si,1,no,0,si,1,si,2,no,0,2,?
si,14,si,5,si,1,no,0,no,0,no,0,si,2,no,0,6,?
si,2,si,3,no,0,no,0,no,0,no,0,no,0,no,0,5,?
no,0,si,1,no,0,no,0,no,0,no,0,si,1,no,0,1,?
si,5,si,4,si,1,si,1,no,0,si,1,si,2,no,0,1,?
si,7,no,0,si,1,no,0,no,0,no,0,si,1,no,0,5,?
si,1,no,0,no,0,no,0,si,1,no,0,si,1,no,0,0,?
si,3,si,5,si,1,si,2,no,0,si,1,si,2,si,3,2,?
si,2,si,2,si,1,no,0,no,0,no,0,si,1,no,0,0,?
no,0,si,1,no,0,si,1,no,0,no,0,no,0,si,1,0,?
si,3,si,3,no,0,no,0,si,1,no,0,si,1,no,0,3,?
si,30,si,5,si,1,si,1,si,3,no,0,si,7,si,3,17,?
si,1,si,2,si,1,si,2,no,0,no,0,si,1,si,2,2,?
si,6,si,2,si,3,no,0,si,1,no,0,si,3,no,0,1,?
no,0,si,1,no,0,no,0,si,1,no,0,no,0,no,0,0,?
si,7,si,1,si,1,no,0,no,0,no,0,si,2,no,0,2,?
si,8,si,2,si,2,no,0,si,1,no,0,si,3,no,0,5,?
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,2,?
si,4,si,7,no,0,no,0,no,0,si,2,no,0,si,1,2,?
si,1,si,2,si,1,no,0,no,0,no,0,si,2,no,0,1,?
si,5,no,0,si,2,no,0,si,1,no,0,si,1,no,0,1,?
si,2,no,0,si,1,no,0,no,0,no,0,si,1,no,0,0,?
no,0,si,3,no,0,no,0,no,0,si,1,no,0,si,3,1,?
no,0,si,1,no,0,no,0,no,0,no,0,no,0,no,0,2,?
si,1,si,6,no,0,no,0,no,0,si,1,no,0,no,0,2,?
si,4,si,2,si,1,no,0,no,0,no,0,si,1,no,0,1,?
si,2,si,1,no,0,no,0,no,0,no,0,no,0,no,0,2,?
si,6,si,6,no,0,no,0,no,0,no,0,si,1,no,0,5,?
si,4,si,4,no,0,no,0,si,1,no,0,no,0,no,0,4,?
si,5,si,2,no,0,no,0,no,0,no,0,si,1,no,0,4,?
si,9,si,4,si,1,no,0,si,1,no,0,si,2,no,0,1,?
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,0,?
no,0,si,2,no,0,no,0,no,0,no,0,no,0,si,2,0,?
si,5,si,2,si,1,no,0,si,1,no,0,si,4,no,0,4,?
si,4,si,2,si,1,si,1,no,0,no,0,si,2,si,1,3,?
si,4,si,3,no,0,si,1,no,0,no,0,no,0,no,0,3,?
si,20,si,2,si,2,no,0,si,2,no,0,si,5,no,0,9,?
si,4,no,0,no,0,no,0,no,0,no,0,si,1,no,0,0,?
si,4,si,1,no,0,no,0,si,1,no,0,si,1,no,0,0,?
si,1,si,2,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,2,no,0,no,0,no,0,si,1,no,0,si,1,no,0,1,?
no,0,si,1,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,1,no,0,no,0,no,0,no,0,no,0,no,0,no,0,1,?
si,1,no,0,no,0,no,0,si,1,no,0,no,0,no,0,2,?
si,10,si,3,si,3,no,0,si,1,si,1,si,3,no,0,4,?
si,2,si,1,no,0,no,0,no,0,no,0,no,0,no,0,0,?
si,3,si,2,no,0,no,0,no,0,si,3,no,0,si,2,4,?
si,12,si,3,no,0,no,0,si,2,si,1,si,3,no,0,5,?
si,17,si,7,si,4,si,1,si,5,no,0,si,9,si,3,14,?
si,7,si,3,no,0,no,0,si,2,si,1,si,1,si,1,2,?
si,2,si,1,si,1,no,0,no,0,no,0,si,1,no,0,0,?
si,15,si,1,si,1,no,0,si,2,si,1,si,5,no,0,4,?
si,1,no,0,si,1,no,0,no,0,no,0,si,1,no,0,0,?
si,4,no,0,si,1,no,0,no,0,no,0,si,1,no,0,0,?
